Event Title,Organization,Location,Date/Time
Reimagining the Linear Economy with Circularity,Olin Net Impact,Bauer Hall 330,11/09/2023 - 5:30 PM
November GBM,African Students Association,Seigle L004,11/09/2023 - 6:00 PM
Flyover Comedy Festival,In the Lou Programming,Various Venues in The Grove,11/09/2023 - 7:00 PM
Mock at the Rock Invitational,WU Mock Trial,"Northwestern University, Evanston, IL",11/10/2023 - 10:00 AM
St. Louis Art Museum's The Culture: Hip Hop and Contemporary Art in the 21st Century,In the Lou Programming,St. Louis Art Museum,11/10/2023 - 10:00 AM
Regionals,Sports Club - Swim,University of Minnesota,11/10/2023 - 10:30 AM
Games at Kansas,Sports Club - Ice Hockey,Independence Community Ice,11/10/2023 - 12:00 PM
Penn Bowl,Washington University Quiz Bowl,Purdue University,11/10/2023 - 3:00 PM
ACF Winter,Washington University Quiz Bowl,Northwestern University,11/10/2023 - 3:00 PM
Flyover Comedy Festival,In the Lou Programming,Various Venues in The Grove,11/10/2023 - 5:00 PM
The Skippo Trail Race,Sports Club - Running Club,"Castlewood State Park, Ballwin, MO",11/11/2023 - 9:00 AM
Meramec Caverns Tour + Hike,Outing Club,Meramec Caverns,11/11/2023 - 9:00 AM
WashU Dance Marathon,Dance Marathon at WUSTL,Risa Commons,11/11/2023 - 10:00 AM
Flyover Comedy Festival,In the Lou Programming,Various Venues in The Grove,11/11/2023 - 5:00 PM
Red Dress Affair,American Medical Women's Association (WUSM),FLTC Atrium and Hearth,11/11/2023 - 6:00 PM
Spish Show 2,Suspicious of Whistlers,McDonnell 162,11/11/2023 - 7:00 PM
SPACE SUNdays,Spartan Light Metal Products Makerspace,Jubel Hall 138 (Danforth Campus),11/12/2023 - 1:30 PM
APAMSA Mentor-Mentee Dinner,WU Asian-Pacific American Medical Student Association,DUC Tisch Commons,11/12/2023 - 6:00 PM
APAMSA Collaborative Mentorship Dinner,Asian-Pacific American Medical Student Association,Danforth Campus,11/12/2023 - 6:00 PM
Blind Date With A Book Fundraiser,Campus Y,DUC Table 1,11/13/2023 - 11:00 AM
Exploring Graduate School Workshop: Interview Day Prep and Follow-Up Materials,"College of Arts & Sciences, Post-Graduate and Pre-Professional Advising",DUC 240 (https://wustl.zoom.us/j/95337328214?pwd=SnRsVkVSL3BSekNYcTVuZEpIYitzZz09),11/14/2023 - 5:00 PM
